1,sxvnjhpd,dxvcrastvybcw,mgnykrxvzxkgxts,sjdgyluegqfl,QL,123456789,0.1022
2,cfljbep,wfnsomyarhaopufojhh,xehxjbhwgsm,jgnlonjvxzxzozitkx,BO,123456789,0.0965
3,wdjmcbosy,qkcprrdczwmrl,xblgqprpgrn,aqoosvxpkjpj,AV,123456789,0.1779
4,qccrxfrr,llhwhohfgcfwpndlmw,sshwxqqyka,aawcmxylmza,GD,123456789,0.0719
5,skktees,mprhrovkumpsxhelid,eoohoihegjoazbvpumc,shgxzyxxqruicrij,QE,123456789,0.0661
6,bwaxabqr,rugzjuuvfyqov,dedxyfprlgsgzxsn,avodtjksqwhn,VP,123456789,0.1625
7,amzkoudtw,iorjscziqypczmb,wkdikokyngwpxzwmkr,cmbxkfuil,DH,123456789,0.181
8,fxrfao,rugdflpdlh,xcxcuplwgdpphemjgm,vmfqqfvcupofywldue,IC,123456789,0.18
9,pzkhk,mcjvwvktxbkapwap,nueznwnwdc,cdrlpiphjqqkmofdqs,KK,123456789,0.0899
10,urfbor,lbpcbiwts,nprbnittkjywahwg,zynusfispiyp,OG,123456789,0.078
